instal;maquina;comb;dtini_oper;din_des;din_iniapur
IVX214;IVX2141417;HD;13/05/2010;;13/05/2010
IVX341;IVX3411418;HD;09/09/2016;;09/09/2016
IVX341;IVX3411419;HD;20/08/2016;;20/08/2016
IVX341;IVX3411420;HD;31/03/2016;;31/03/2016
IVX341;IVX3411421;HD;16/01/2016;;16/01/2016
IVX271;IVX2711422;OD;31/12/1990;30/01/2013;23/10/2009
IVX271;IVX2711423;OD;31/12/1990;30/01/2013;23/10/2009
IVX271;IVX2711424;OD;31/12/1990;30/01/2013;23/10/2009
IVX259;IVX2591425;GS;15/02/2002;;15/02/2002
IVX259;IVX2591426;GS;29/03/2002;;29/03/2002
IVX259;IVX2591427;GS;22/02/2002;;22/02/2002
IVX271;IVX2711428;OD;31/12/1990;30/01/2013;23/10/2009
IVX62;IVX621429;HD;01/03/1973;;01/01/1996
IVX56;IVX561430;HD;01/02/1955;;01/01/1996
IVX185;IVX1851431;OD;16/07/2002;01/01/2006;
IVX185;IVX1851432;OD;16/07/2002;01/01/2006;
IVX220;IVX2201433;HD;20/08/2011;;20/08/2011
IVX218;IVX2181434;GS;01/07/2002;20/02/2018;14/01/2013
IVX218;IVX2181435;GS;30/04/2002;20/02/2018;14/01/2013
IVX259;IVX2591436;GS;07/08/2002;;07/08/2002
IVX259;IVX2591437;GS;19/12/2001;;19/12/2001
IVX259;IVX2591438;GS;16/07/2002;;16/07/2002
IVX218;IVX2181439;GS;01/09/2001;20/02/2018;14/01/2013
IVX218;IVX2181440;GS;19/11/1999;20/02/2018;14/01/2013
IVX218;IVX2181441;GS;01/04/1999;20/02/2018;14/01/2013
IVX259;IVX2591442;GS;16/07/2002;;16/07/2002
IVX259;IVX2591443;GS;16/07/2002;;16/07/2002
IVX259;IVX2591444;GS;15/02/2002;;15/02/2002
IVX259;IVX2591445;GS;14/03/2002;;14/03/2002
IVX185;IVX1851446;OD;16/07/2002;01/01/2006;
IVX259;IVX2591447;GS;15/02/2002;;15/02/2002
IVX87;IVX871448;HD;01/12/2001;;01/12/2001
IVX314;IVX3141449;HD;01/04/1972;;01/01/1996
IVX314;IVX3141450;HD;01/02/1972;;01/01/1996
IVX185;IVX1851451;OD;16/07/2002;01/01/2006;
IVX185;IVX1851452;OD;16/07/2002;01/01/2006;
IVX185;IVX1851453;OD;16/07/2002;01/01/2006;
IVX185;IVX1851454;OD;16/07/2002;01/01/2006;
IVX185;IVX1851455;OD;16/07/2002;01/01/2006;
IVX185;IVX1851456;OD;16/07/2002;01/01/2006;
IVX230;IVX2301457;HD;06/01/2017;;06/01/2017
IVX230;IVX2301458;HD;04/11/2016;;04/11/2016
IVX230;IVX2301459;HD;05/08/2016;;05/08/2016
IVX185;IVX1851460;OD;16/07/2002;01/01/2006;
IVX259;IVX2591461;GS;15/02/2002;;15/02/2002
IVX113;IVX1131462;HD;01/02/1984;;01/01/1996
IVX340;IVX3401463;HD;03/01/2017;;03/01/2017
IVX341;IVX3411464;HD;06/01/2016;;06/01/2016
IVX333;IVX3331465;HD;10/03/1979;;01/01/1996
IVX333;IVX3331466;HD;18/05/1978;;01/01/1996
IVX333;IVX3331467;HD;31/08/1977;;01/01/1996
IVX345;IVX3451468;OL;09/01/2010;;09/01/2010
IVX345;IVX3451469;OL;09/01/2010;;09/01/2010
IVX345;IVX3451470;OL;09/01/2010;;09/01/2010
IVX175;IVX1751471;OD;06/06/2002;01/01/2006;
IVX204;IVX2041472;OD;13/07/2002;01/01/2005;
IVX204;IVX2041473;OD;13/07/2002;01/01/2005;
IVX204;IVX2041474;OD;13/07/2002;01/01/2005;
IVX204;IVX2041475;OD;13/07/2002;01/01/2005;
IVX145;IVX1451476;OD;28/06/2002;01/01/2005;
IVX145;IVX1451477;OD;28/06/2002;01/01/2005;
IVX47;IVX471478;DO;16/07/2002;01/01/2006;
IVX145;IVX1451479;OD;28/06/2002;01/01/2005;
IVX145;IVX1451480;OD;28/06/2002;01/01/2005;
IVX145;IVX1451481;OD;28/06/2002;01/01/2005;
IVX145;IVX1451482;OD;28/06/2002;01/01/2005;
IVX145;IVX1451483;OD;28/06/2002;01/01/2005;
IVX86;IVX861484;OD;29/06/2002;01/01/2005;
IVX296;IVX2961485;OD;23/06/2002;01/01/2005;
IVX129;IVX1291486;OD;26/06/2002;01/01/2005;
IVX129;IVX1291487;OD;26/06/2002;01/01/2005;
IVX128;IVX1281488;OD;09/06/2002;01/01/2005;
IVX261;IVX2611489;OD;06/07/2002;01/01/2005;
IVX261;IVX2611490;OD;06/07/2002;01/01/2005;
IVX261;IVX2611491;OD;06/07/2002;01/01/2005;
IVX261;IVX2611492;OD;06/07/2002;01/01/2005;
IVX145;IVX1451493;OD;28/06/2002;01/01/2005;
IVX261;IVX2611494;OD;06/07/2002;01/01/2005;
IVX47;IVX471495;DO;16/07/2002;01/01/2006;
IVX47;IVX471496;DO;16/07/2002;01/01/2006;
IVX262;IVX2621497;OD;21/07/2002;01/01/2006;
IVX262;IVX2621498;OD;21/07/2002;01/01/2006;
IVX262;IVX2621499;OD;21/07/2002;01/01/2006;
IVX262;IVX2621500;OD;21/07/2002;01/01/2006;
IVX127;IVX1271501;OD;05/08/2002;01/01/2006;
IVX127;IVX1271502;OD;05/08/2002;01/01/2006;
IVX127;IVX1271503;OD;05/08/2002;01/01/2006;
IVX127;IVX1271504;OD;05/08/2002;01/01/2006;
IVX127;IVX1271505;OD;05/08/2002;01/01/2006;
IVX127;IVX1271506;OD;05/08/2002;01/01/2006;
IVX127;IVX1271507;OD;05/08/2002;01/01/2006;
IVX127;IVX1271508;OD;05/08/2002;01/01/2006;
IVX127;IVX1271509;OD;05/08/2002;01/01/2006;
IVX47;IVX471510;DO;16/07/2002;01/01/2006;
IVX127;IVX1271511;OD;05/08/2002;01/01/2006;
IVX127;IVX1271512;OD;05/08/2002;01/01/2006;
IVX238;IVX2381513;OD;15/03/2002;01/01/2006;
IVX238;IVX2381514;OD;15/03/2002;01/01/2006;
IVX302;IVX3021515;HD;01/01/1970;;01/01/1996
IVX302;IVX3021516;HD;01/03/1970;;01/01/1996
IVX302;IVX3021517;HD;01/04/1969;;01/01/1996
IVX147;IVX1471518;OD;21/06/2002;01/01/2006;
IVX147;IVX1471519;OD;21/06/2002;01/01/2006;
IVX147;IVX1471520;OD;21/06/2002;01/01/2006;
IVX295;IVX2951521;OD;08/08/2002;01/01/2006;
IVX295;IVX2951522;OD;08/08/2002;01/01/2006;
IVX295;IVX2951523;OD;08/08/2002;01/01/2006;
IVX295;IVX2951524;OD;08/08/2002;01/01/2006;
IVX127;IVX1271525;OD;05/08/2002;01/01/2006;
IVX341;IVX3411526;HD;06/01/2016;;06/01/2016
IVX56;IVX561527;HD;01/03/1959;;01/01/1996
IVX250;IVX2501528;HD;10/04/2019;;10/04/2019
IVX159;IVX1591529;OD;22/04/2002;09/07/2004;
IVX46;IVX461530;OD;17/04/2002;26/06/2003;
IVX45;IVX451531;OD;20/04/2002;26/06/2003;
IVX45;IVX451532;OD;20/04/2002;26/06/2003;
IVX167;IVX1671533;OD;26/05/2008;01/01/2013;
IVX166;IVX1661534;OD;01/01/2008;01/01/2013;
IVX106;IVX1061535;OD;01/01/2008;01/01/2013;
IVX344;IVX3441536;OD;01/01/2008;01/01/2013;
IVX38;IVX381537;OD;01/01/2008;01/01/2013;
IVX168;IVX1681538;OD;01/01/2008;01/01/2013;
IVX343;IVX3431539;OD;26/05/2008;01/01/2013;
IVX245;IVX2451540;OD;01/01/2008;01/01/2013;
IVX341;IVX3411541;HD;04/03/2015;;04/03/2015
IVX162;IVX1621542;OD;22/04/2002;26/06/2003;
IVX341;IVX3411543;HD;04/03/2015;;04/03/2015
IVX78;IVX781544;OD;26/05/2008;01/01/2013;
IVX261;IVX2611545;OD;06/07/2002;01/01/2005;
IVX165;IVX1651546;OD;22/04/2002;09/07/2004;
IVX341;IVX3411547;HD;22/02/2014;;22/02/2014
IVX341;IVX3411548;HD;03/02/2015;;03/02/2015
IVX341;IVX3411549;HD;06/09/2013;;06/09/2013
IVX51;IVX511550;HD;01/03/1963;;01/01/1996
IVX62;IVX621551;HD;01/01/1974;;01/01/1996
IVX62;IVX621552;HD;01/04/1973;;20/01/1996
IVX185;IVX1851553;OD;16/07/2002;01/01/2006;
IVX185;IVX1851554;OD;16/07/2002;01/01/2006;
IVX185;IVX1851555;OD;16/07/2002;01/01/2006;
IVX341;IVX3411556;HD;06/01/2016;;06/01/2016
IVX341;IVX3411557;HD;21/10/2015;;21/10/2015
IVX261;IVX2611558;OD;06/07/2002;01/01/2005;
IVX163;IVX1631559;OD;21/04/2002;09/07/2004;
IVX164;IVX1641560;OD;23/04/2002;09/07/2004;
IVX250;IVX2501561;HD;08/02/2019;;08/02/2019
IVX250;IVX2501562;HD;21/02/2019;;21/02/2019
IVX293;IVX2931563;HD;29/07/2022;;01/08/2022
IVX293;IVX2931564;HD;19/09/2022;;19/09/2022
IVX293;IVX2931565;HD;21/07/2022;;21/07/2022
IVX222;IVX2221566;HD;17/09/2019;;17/09/2019
IVX222;IVX2221567;HD;18/10/2019;;18/10/2019
IVX227;IVX2271568;HD;26/04/2018;;26/04/2018
IVX227;IVX2271569;HD;02/03/2018;;02/03/2018
IVX227;IVX2271570;HD;19/01/2018;;19/01/2018
IVX227;IVX2271571;HD;28/12/2017;;28/12/2017
IVX219;IVX2191572;HD;21/12/2019;;21/12/2019
IVX219;IVX2191573;HD;07/05/2019;;07/05/2019
IVX161;IVX1611574;OD;21/04/2002;09/07/2004;
IVX219;IVX2191575;HD;09/03/2019;;09/03/2019
IVX226;IVX2261576;HD;17/09/2016;;15/09/2022
IVX226;IVX2261577;HD;17/09/2016;;15/09/2022
IVX341;IVX3411578;HD;15/11/2016;;15/11/2016
IVX341;IVX3411579;HD;23/11/2016;;23/11/2016
