id_unidadegeradora;uge_id;instal;maquina;id_tpcombustivel;dtini_oper;din_des;din_iniapur
517;BAEGJG0UG16;IVX145;IVX145572;OD;2002-06-28 00:00:00;2005-01-01;
518;BAEGJG0UG10;IVX145;IVX145573;OD;2002-06-28 00:00:00;2005-01-01;
519;BAEGJG0UG4 ;IVX145;IVX145574;OD;2002-06-28 00:00:00;2005-01-01;
520;SEBGLG0UG7 ;IVX86;IVX86575;OD;2002-06-29 00:00:00;2005-01-01;
521;SEBGCP0UG12;IVX296;IVX296576;OD;2002-06-23 00:00:00;2005-01-01;
522;SEBGCP0UG7 ;IVX296;IVX296577;OD;2002-06-23 00:00:00;2005-01-01;
523;ALBGPP0UG10;IVX129;IVX129578;OD;2002-06-26 00:00:00;2005-01-01;
524;SEBGLG0UG11;IVX86;IVX86579;OD;2002-06-29 00:00:00;2005-01-01;
525;ALBGPP0UG4 ;IVX129;IVX129580;OD;2002-06-26 00:00:00;2005-01-01;
526;ALBGMD0UG7 ;IVX128;IVX128581;OD;2002-06-09 00:00:00;2005-01-01;
527;BAEGJG0UG39;IVX145;IVX145582;OD;2002-06-28 00:00:00;2005-01-01;
528;RNPEPM0UG9 ;IVX261;IVX261583;OD;2002-07-06 00:00:00;2005-01-01;
529;RNPEPM0UG49;IVX261;IVX261584;OD;2002-07-06 00:00:00;2005-01-01;
530;RNPEPM0UG43;IVX261;IVX261585;OD;2002-07-06 00:00:00;2005-01-01;
531;RNPEPM0UG38;IVX261;IVX261586;OD;2002-07-06 00:00:00;2005-01-01;
532;RNPEPM0UG32;IVX261;IVX261587;OD;2002-07-06 00:00:00;2005-01-01;
533;RNPEPM0UG26;IVX261;IVX261588;OD;2002-07-06 00:00:00;2005-01-01;
534;RNPEPM0UG20;IVX261;IVX261589;OD;2002-07-06 00:00:00;2005-01-01;
535;RNPEPM0UG14;IVX261;IVX261590;OD;2002-07-06 00:00:00;2005-01-01;
536;RNPEPM0UG8 ;IVX261;IVX261591;OD;2002-07-06 00:00:00;2005-01-01;
537;RNPEPM0UG2 ;IVX261;IVX261592;OD;2002-07-06 00:00:00;2005-01-01;
538;CECGCG0UG4 ;IVX160;IVX160593;OD;2002-05-28 00:00:00;2004-07-09;
539;CECGPJ0UG3 ;IVX164;IVX164594;OD;2002-04-23 00:00:00;2004-07-09;
540;CECGCL0UG2 ;IVX161;IVX161595;OD;2002-04-21 00:00:00;2004-07-09;
541;CECGPP0UG3 ;IVX165;IVX165596;OD;2002-04-22 00:00:00;2004-07-09;
542;RNPEPM0UG55;IVX261;IVX261597;OD;2002-07-06 00:00:00;2005-01-01;
543;CECGMG0UG7 ;IVX163;IVX163598;OD;2002-04-21 00:00:00;2004-07-09;
